click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786129594.114916,0.0,0.0,left,single-click
2,1786129594.263433,148.518,148.518,left,single-click
3,1786129594.365329,250.413,101.895,left,single-click
4,1786129594.437826,322.91,72.497,left,single-click
5,1786129594.533525,418.609,95.699,left,single-click
6,1786129594.705669,590.753,172.144,left,single-click
7,1786129594.782483,667.567,76.814,left,single-click
8,1786129594.875974,761.058,93.491,left,single-click
9,1786129595.045449,930.534,169.476,left,single-click
10,1786129595.121407,1006.491,75.957,left,single-click
11,1786129595.213669,1098.753,92.263,left,single-click
12,1786129595.302481,1187.566,88.812,left,single-click
13,1786129595.388595,1273.679,86.114,left,single-click
14,1786129595.483493,1368.577,94.898,left,single-click
15,1786129595.555746,1440.831,72.253,left,single-click
16,1786129595.734731,1619.816,178.985,left,single-click
17,1786129595.827754,1712.838,93.022,left,single-click
18,1786129595.914484,1799.569,86.731,left,single-click
19,1786129596.013541,1898.626,99.057,left,single-click
20,1786129596.108788,1993.872,95.246,left,single-click
21,1786129596.188376,2073.46,79.588,left,single-click
22,1786129596.285655,2170.739,97.279,left,single-click
23,1786129596.366915,2251.999,81.26,left,single-click
24,1786129596.465622,2350.706,98.707,left,single-click
25,1786129596.553502,2438.586,87.88,left,single-click
26,1786129596.656646,2541.731,103.145,left,single-click
27,1786129596.736597,2621.682,79.951,left,single-click
28,1786129596.814715,2699.8,78.118,left,single-click
29,1786129596.911728,2796.813,97.013,left,single-click
30,1786129597.007773,2892.858,96.045,left,single-click
31,1786129597.176908,3061.993,169.135,left,single-click
32,1786129597.346611,3231.695,169.702,left,single-click
33,1786129597.449795,3334.879,103.184,left,single-click
34,1786129597.538571,3423.656,88.776,left,single-click
35,1786129597.616656,3501.74,78.084,left,single-click
36,1786129597.723656,3608.741,107.001,left,single-click
37,1786129597.883004,3768.089,159.348,left,single-click
38,1786129597.984782,3869.866,101.777,left,single-click
39,1786129598.069719,3954.803,84.937,left,single-click
40,1786129598.154697,4039.782,84.979,left,single-click
41,1786129598.23859,4123.674,83.892,left,single-click
42,1786129598.345614,4230.699,107.025,left,single-click
43,1786129598.437859,4322.943,92.245,left,single-click
44,1786129598.528856,4413.941,90.997,left,single-click
45,1786129598.616635,4501.719,87.779,left,single-click
46,1786129598.793559,4678.644,176.924,left,single-click
47,1786129598.881564,4766.648,88.004,left,single-click
48,1786129598.968525,4853.61,86.962,left,single-click
49,1786129599.076805,4961.89,108.28,left,single-click
