click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
1,1786145378.731629,0.0,0.0,16.797,left,single-click
2,1786145378.766513,34.883,34.883,17.061,left,double-click
3,1786145378.828527,96.898,62.015,17.038,left,single-click
4,1786145378.862446,130.817,33.919,17.029,left,double-click
5,1786145378.947494,215.864,85.048,51.013,left,single-click
6,1786145379.049446,317.817,101.953,17.041,left,single-click
7,1786145379.083431,351.802,33.985,21.075,left,double-click
8,1786145379.174568,442.939,91.137,16.981,left,single-click
9,1786145379.208498,476.869,33.93,16.98,left,double-click
10,1786145379.275535,543.905,67.037,17.013,left,single-click
11,1786145379.309456,577.827,33.921,23.065,left,double-click
12,1786145379.400164,668.535,90.708,16.379,left,single-click
13,1786145379.435464,703.834,35.3,17.156,left,double-click
14,1786145379.500475,768.846,65.011,17.085,left,single-click
15,1786145379.534546,802.917,34.071,20.996,left,double-click
16,1786145379.623485,891.856,88.939,17.12,left,single-click
17,1786145379.72757,995.94,104.085,16.926,left,single-click
18,1786145379.761523,1029.894,33.953,17.089,left,double-click
19,1786145379.846753,1115.124,85.23,17.055,left,single-click
20,1786145379.880524,1148.895,33.771,17.006,left,double-click
21,1786145379.953484,1221.855,72.96,17.045,left,single-click
22,1786145379.987478,1255.849,33.994,16.994,left,double-click
23,1786145380.090511,1358.882,103.033,17.368,left,single-click
24,1786145380.183683,1452.054,93.172,16.857,left,single-click
25,1786145380.217475,1485.846,33.792,20.074,left,double-click
26,1786145380.322497,1590.868,105.022,17.029,left,single-click
27,1786145380.422608,1690.979,100.111,17.15,left,single-click
28,1786145380.456486,1724.857,33.878,17.03,left,double-click
29,1786145380.532521,1800.891,76.035,17.225,left,single-click
30,1786145380.566554,1834.925,34.034,16.941,left,double-click
31,1786145380.642538,1910.909,75.984,16.999,left,single-click
32,1786145380.676555,1944.925,34.017,28.964,left,double-click
33,1786145380.779537,2047.908,102.983,17.083,left,single-click
34,1786145380.81349,2081.86,33.952,17.046,left,double-click
35,1786145380.872494,2140.864,59.004,17.024,left,single-click
36,1786145380.906743,2175.114,34.25,31.788,left,double-click
37,1786145381.017582,2285.953,110.839,17.17,left,single-click
38,1786145381.051745,2320.116,34.163,16.939,left,double-click
39,1786145381.115496,2383.867,63.751,17.02,left,single-click
40,1786145381.149783,2418.154,34.287,16.807,left,double-click
41,1786145381.256746,2525.116,106.963,16.772,left,single-click
42,1786145381.343624,2611.994,86.878,16.944,left,single-click
43,1786145381.377523,2645.893,33.899,17.02,left,double-click
44,1786145381.469501,2737.872,91.978,45.381,left,single-click
45,1786145381.570489,2838.859,100.988,17.029,left,single-click
46,1786145381.604485,2872.855,33.996,34.189,left,double-click
47,1786145381.721579,2989.949,117.094,16.989,left,single-click
48,1786145381.811624,3079.994,90.045,17.295,left,single-click
49,1786145381.845712,3114.083,34.089,16.809,left,double-click
50,1786145381.957506,3225.877,111.794,17.161,left,single-click
51,1786145382.045527,3313.898,88.021,17.025,left,single-click
52,1786145382.079509,3347.879,33.982,22.189,left,double-click
53,1786145382.208546,3476.916,129.037,17.006,left,single-click
54,1786145382.309544,3577.914,100.998,17.002,left,single-click
55,1786145382.343547,3611.918,34.004,18.031,left,double-click
56,1786145382.437502,3705.873,93.955,17.113,left,single-click
57,1786145382.541575,3809.945,104.073,16.99,left,single-click
58,1786145382.575513,3843.884,33.938,18.954,left,double-click
59,1786145382.666562,3934.932,91.049,17.003,left,single-click
60,1786145382.700494,3968.864,33.932,17.07,left,double-click
61,1786145382.769526,4037.897,69.032,17.316,left,single-click
62,1786145382.803591,4071.962,34.065,25.973,left,double-click
63,1786145382.92062,4188.991,117.029,16.989,left,single-click
64,1786145383.001524,4269.895,80.904,17.063,left,single-click
65,1786145383.035535,4303.906,34.011,20.082,left,double-click
66,1786145383.175589,4443.959,140.054,17.071,left,single-click
67,1786145383.250558,4518.929,74.97,17.056,left,single-click
68,1786145383.284515,4552.886,33.957,30.044,left,double-click
69,1786145383.411604,4679.974,127.088,17.05,left,single-click
70,1786145383.445534,4713.904,33.93,17.153,left,double-click
71,1786145383.508582,4776.953,63.048,16.994,left,single-click
72,1786145383.542524,4810.895,33.942,27.09,left,double-click
73,1786145383.663542,4931.912,121.017,17.142,left,single-click
74,1786145383.752586,5020.957,89.044,17.012,left,single-click
75,1786145383.786665,5055.036,34.08,17.004,left,double-click
76,1786145383.907795,5176.166,121.13,16.939,left,single-click
77,1786145383.992554,5260.924,84.758,17.135,left,single-click
78,1786145384.026595,5294.966,34.041,16.987,left,double-click
79,1786145384.164578,5432.949,137.983,17.001,left,single-click
80,1786145384.221574,5489.944,56.996,16.83,left,single-click
81,1786145384.255563,5523.933,33.989,23.048,left,double-click
82,1786145384.406823,5675.193,151.26,16.894,left,single-click
83,1786145384.483696,5752.066,76.873,17.016,left,single-click
84,1786145384.51782,5786.191,34.125,16.765,left,double-click
85,1786145384.633784,5902.155,115.964,17.104,left,single-click
86,1786145384.713859,5982.229,80.075,17.258,left,single-click
87,1786145384.747732,6016.102,33.873,16.972,left,double-click
88,1786145384.879788,6148.159,132.056,17.054,left,single-click
89,1786145384.952715,6221.086,72.927,17.044,left,single-click
90,1786145384.986773,6255.144,34.059,29.97,left,double-click
91,1786145385.112794,6381.165,126.021,16.956,left,single-click
92,1786145385.200823,6469.193,88.028,16.82,left,single-click
93,1786145385.333807,6602.178,132.984,17.934,left,single-click
94,1786145385.41284,6681.21,79.033,17.024,left,single-click
95,1786145385.446582,6714.953,33.743,33.209,left,double-click
96,1786145385.5618,6830.171,115.218,75.927,left,single-click
97,1786145385.657712,6926.083,95.912,17.023,left,single-click
98,1786145385.69171,6960.081,33.998,49.036,left,double-click
99,1786145385.824795,7093.165,133.084,17.02,left,single-click
100,1786145385.859081,7127.452,34.286,16.778,left,double-click
101,1786145385.93186,7200.231,72.779,53.873,left,single-click
102,1786145386.068783,7337.153,136.923,16.979,left,single-click
103,1786145386.102738,7371.109,33.955,17.011,left,double-click
104,1786145386.154706,7423.077,51.968,17.409,left,single-click
105,1786145386.188774,7457.144,34.067,16.911,left,double-click
106,1786145386.309729,7578.1,120.956,17.007,left,single-click
107,1786145386.34376,7612.131,34.031,17.221,left,double-click
108,1786145386.392725,7661.095,48.964,64.192,left,double-click
109,1786145386.54073,7809.101,148.006,17.112,left,single-click
110,1786145386.627722,7896.093,86.992,59.018,left,single-click
111,1786145386.777812,8046.182,150.09,16.975,left,single-click
112,1786145386.812347,8080.718,34.536,16.468,left,double-click
113,1786145386.865752,8134.123,53.405,17.069,left,single-click
114,1786145386.899739,8168.109,33.986,28.246,left,double-click
115,1786145387.018726,8287.097,118.988,17.043,left,single-click
116,1786145387.052775,8321.146,34.049,18.209,left,double-click
117,1786145387.113797,8382.167,61.022,17.194,left,single-click
118,1786145387.147995,8416.366,34.199,44.845,left,double-click
119,1786145387.293826,8562.196,145.83,16.959,left,single-click
120,1786145387.376814,8645.185,82.988,16.939,left,single-click
121,1786145387.410753,8679.124,33.939,19.2,left,double-click
122,1786145387.558744,8827.115,147.991,17.02,left,single-click
123,1786145387.592666,8861.036,33.921,17.128,left,double-click
124,1786145387.65476,8923.13,62.094,17.161,left,single-click
125,1786145387.68872,8957.091,33.961,20.059,left,double-click
126,1786145387.812897,9081.268,124.177,16.974,left,single-click
127,1786145387.88388,9152.251,70.983,63.945,left,single-click
128,1786145388.051813,9320.183,167.933,17.204,left,single-click
129,1786145388.137956,9406.327,86.143,16.827,left,single-click
130,1786145388.171873,9440.244,33.917,17.911,left,double-click
131,1786145388.298105,9566.476,126.232,16.68,left,single-click
