click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786140316.889136,0.0,0.0,left,single-click
2,1786140316.982102,92.966,92.966,left,single-click
3,1786140317.073945,184.808,91.843,left,single-click
4,1786140317.168972,279.836,95.028,left,single-click
5,1786140317.43476,545.624,265.788,left,single-click
6,1786140317.648755,759.619,213.995,left,single-click
7,1786140317.73484,845.704,86.085,left,single-click
8,1786140317.814824,925.688,79.984,left,single-click
9,1786140317.902704,1013.567,87.88,left,single-click
10,1786140317.997847,1108.711,95.143,left,single-click
11,1786140318.173737,1284.601,175.89,left,single-click
12,1786140318.332756,1443.62,159.019,left,single-click
13,1786140318.428901,1539.765,96.145,left,single-click
14,1786140318.507816,1618.68,78.914,left,single-click
15,1786140318.601832,1712.696,94.016,left,single-click
16,1786140318.686686,1797.55,84.854,left,single-click
17,1786140318.769929,1880.793,83.243,left,single-click
18,1786140318.85672,1967.584,86.791,left,single-click
19,1786140318.947717,2058.581,90.997,left,single-click
20,1786140319.044767,2155.631,97.05,left,single-click
21,1786140319.131728,2242.592,86.961,left,single-click
22,1786140319.225966,2336.83,94.238,left,single-click
23,1786140319.468732,2579.596,242.765,left,single-click
24,1786140319.613935,2724.799,145.203,left,single-click
25,1786140319.778766,2889.63,164.831,left,single-click
26,1786140319.953176,3064.04,174.411,left,single-click
27,1786140320.03702,3147.884,83.843,left,single-click
28,1786140320.217045,3327.909,180.025,left,single-click
29,1786140320.396732,3507.596,179.687,left,single-click
30,1786140320.471128,3581.991,74.395,left,single-click
31,1786140320.573738,3684.602,102.61,left,single-click
32,1786140320.663855,3774.719,90.117,left,single-click
33,1786140320.748897,3859.761,85.042,left,single-click
34,1786140320.840902,3951.766,92.005,left,single-click
35,1786140321.007142,4118.006,166.24,left,single-click
36,1786140321.084059,4194.923,76.916,left,single-click
37,1786140321.170148,4281.012,86.089,left,single-click
38,1786140321.25693,4367.794,86.782,left,single-click
39,1786140321.351242,4462.106,94.311,left,single-click
40,1786140321.511938,4622.802,160.697,left,single-click
41,1786140321.614214,4725.078,102.276,left,single-click
42,1786140321.698921,4809.785,84.707,left,single-click
43,1786140321.802157,4913.021,103.236,left,single-click
44,1786140321.885112,4995.975,82.954,left,single-click
