click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786140295.216941,0.0,0.0,left,single-click
2,1786140295.336961,120.02,120.02,left,single-click
3,1786140295.433005,216.064,96.044,left,single-click
4,1786140295.467621,250.68,34.616,left,double-click
5,1786140295.551173,334.233,83.552,left,single-click
6,1786140295.654016,437.075,102.843,left,single-click
7,1786140295.689037,472.096,35.021,left,double-click
8,1786140295.794044,577.103,105.007,left,single-click
9,1786140295.874399,657.458,80.355,left,single-click
10,1786140295.909107,692.166,34.708,left,double-click
11,1786140296.004073,787.133,94.966,left,single-click
12,1786140296.093046,876.105,88.973,left,single-click
13,1786140296.127127,910.186,34.081,left,double-click
14,1786140296.233165,1016.224,106.038,left,single-click
15,1786140296.325279,1108.338,92.114,left,single-click
16,1786140296.359057,1142.116,33.778,left,double-click
17,1786140296.446208,1229.267,87.151,left,single-click
18,1786140296.542035,1325.094,95.827,left,single-click
19,1786140296.576443,1359.503,34.408,left,double-click
20,1786140296.669054,1452.113,92.611,left,single-click
21,1786140296.76219,1545.249,93.136,left,single-click
22,1786140296.796075,1579.134,33.885,left,double-click
23,1786140296.895132,1678.191,99.057,left,single-click
24,1786140296.99328,1776.339,98.148,left,single-click
25,1786140297.027053,1810.112,33.773,left,double-click
26,1786140297.13605,1919.109,108.996,left,single-click
27,1786140297.224383,2007.442,88.333,left,single-click
28,1786140297.25816,2041.219,33.777,left,double-click
29,1786140297.334595,2117.654,76.435,left,single-click
30,1786140297.437573,2220.632,102.978,left,single-click
31,1786140297.471201,2254.26,33.628,left,double-click
32,1786140297.553212,2336.271,82.011,left,single-click
33,1786140297.657098,2440.157,103.887,left,single-click
34,1786140297.69131,2474.369,34.212,left,double-click
35,1786140297.789112,2572.171,97.802,left,single-click
36,1786140297.887053,2670.112,97.941,left,single-click
37,1786140297.921552,2704.612,34.499,left,double-click
38,1786140298.017315,2800.374,95.763,left,single-click
39,1786140298.116147,2899.206,98.832,left,single-click
40,1786140298.252148,3035.207,136.001,left,single-click
41,1786140298.34516,3128.219,93.012,left,single-click
42,1786140298.47713,3260.19,131.971,left,single-click
43,1786140298.570491,3353.55,93.36,left,single-click
44,1786140298.700211,3483.27,129.72,left,single-click
45,1786140298.800829,3583.888,100.618,left,single-click
46,1786140298.834027,3617.086,33.198,left,double-click
47,1786140298.922469,3705.528,88.443,left,single-click
48,1786140299.008075,3791.135,85.606,left,single-click
49,1786140299.042128,3825.187,34.052,left,double-click
50,1786140299.145188,3928.247,103.06,left,single-click
51,1786140299.179182,3962.241,33.994,left,double-click
52,1786140299.244171,4027.23,64.989,left,single-click
53,1786140299.278309,4061.368,34.138,left,double-click
54,1786140299.369362,4152.421,91.053,left,single-click
55,1786140299.464134,4247.194,94.773,left,single-click
56,1786140299.614128,4397.187,149.993,left,single-click
57,1786140299.648065,4431.124,33.937,left,double-click
58,1786140299.707107,4490.166,59.043,left,single-click
59,1786140299.742077,4525.136,34.969,left,double-click
60,1786140299.832275,4615.334,90.198,left,single-click
61,1786140299.927283,4710.342,95.008,left,single-click
62,1786140299.961689,4744.748,34.405,left,double-click
63,1786140300.049552,4832.611,87.864,left,single-click
64,1786140300.139155,4922.214,89.603,left,single-click
