click_number,timestamp,relative_time_ms,delay_ms,button,click_type
40,1786140341.53809,3577.662,137.958,left,single-click
41,1786140341.610257,3649.829,72.167,left,single-click
42,1786140341.754,3793.572,143.743,left,single-click
43,1786140341.838066,3877.638,84.066,left,single-click
44,1786140341.872221,3911.793,34.156,left,double-click
45,1786140342.014105,4053.677,141.883,left,single-click
46,1786140342.048669,4088.241,34.564,left,double-click
47,1786140342.111033,4150.605,62.365,left,single-click
48,1786140342.145,4184.572,33.967,left,double-click
49,1786140342.243287,4282.859,98.288,left,single-click
50,1786140342.317919,4357.491,74.632,left,single-click
51,1786140342.352342,4391.914,34.423,left,double-click
52,1786140342.474197,4513.769,121.855,left,single-click
53,1786140342.557018,4596.59,82.821,left,single-click
54,1786140342.590922,4630.494,33.904,left,double-click
55,1786140342.705043,4744.615,114.121,left,single-click
56,1786140342.808018,4847.59,102.975,left,single-click
57,1786140342.958199,4997.771,150.18,left,single-click
58,1786140343.035378,5074.95,77.18,left,single-click
59,1786140343.170087,5209.659,134.708,left,single-click
60,1786140343.265841,5305.413,95.755,left,single-click
61,1786140343.299981,5339.553,34.139,left,double-click
62,1786140343.387044,5426.616,87.063,left,single-click
63,1786140343.484555,5524.127,97.511,left,single-click
64,1786140343.620044,5659.616,135.488,left,single-click
65,1786140343.724263,5763.835,104.22,left,single-click
66,1786140343.887025,5926.597,162.762,left,single-click
67,1786140343.974223,6013.795,87.198,left,single-click
68,1786140344.130009,6169.581,155.786,left,single-click
69,1786140344.213768,6253.34,83.759,left,single-click
70,1786140344.24724,6286.812,33.472,left,double-click
71,1786140344.377592,6417.164,130.352,left,single-click
72,1786140344.457021,6496.593,79.428,left,single-click
73,1786140344.616319,6655.891,159.298,left,single-click
74,1786140344.700006,6739.578,83.688,left,single-click
75,1786140344.865078,6904.65,165.072,left,single-click
76,1786140344.940032,6979.604,74.953,left,single-click
77,1786140345.099149,7138.721,159.117,left,single-click
78,1786140345.18006,7219.632,80.911,left,single-click
79,1786140345.214031,7253.603,33.971,left,double-click
80,1786140345.329192,7368.764,115.161,left,single-click
81,1786140345.425721,7465.293,96.529,left,single-click
82,1786140345.572142,7611.714,146.421,left,single-click
83,1786140345.661197,7700.769,89.055,left,single-click
84,1786140345.695235,7734.807,34.039,left,double-click
85,1786140345.788363,7827.935,93.127,left,single-click
86,1786140345.887294,7926.866,98.931,left,single-click
87,1786140345.921951,7961.523,34.657,left,double-click
88,1786140346.043256,8082.828,121.305,left,single-click
89,1786140346.077139,8116.711,33.883,left,double-click
90,1786140346.143428,8183.0,66.289,left,single-click
91,1786140346.177373,8216.945,33.946,left,double-click
92,1786140346.294093,8333.665,116.72,left,single-click
93,1786140346.39327,8432.842,99.177,left,single-click
94,1786140346.549204,8588.776,155.934,left,single-click
95,1786140346.639238,8678.81,90.034,left,single-click
96,1786140346.673142,8712.714,33.904,left,double-click
97,1786140346.892834,8932.406,219.692,left,single-click
98,1786140346.92626,8965.832,33.426,left,double-click
99,1786140347.057181,9096.753,130.921,left,single-click
100,1786140347.146518,9186.09,89.337,left,single-click
101,1786140347.320169,9359.741,173.651,left,single-click
102,1786140347.394464,9434.036,74.295,left,single-click
103,1786140347.565366,9604.938,170.902,left,single-click
104,1786140347.652477,9692.049,87.111,left,single-click
105,1786140347.686487,9726.059,34.01,left,double-click
106,1786140347.82327,9862.842,136.782,left,single-click
107,1786140347.857183,9896.755,33.913,left,double-click
108,1786140347.909372,9948.944,52.189,left,single-click
109,1786140347.94328,9982.852,33.908,left,double-click
110,1786140348.09134,10130.912,148.059,left,single-click
111,1786140348.171596,10211.168,80.257,left,single-click
112,1786140348.20517,10244.742,33.574,left,double-click
113,1786140348.351261,10390.833,146.091,left,single-click
114,1786140348.44633,10485.902,95.069,left,single-click
115,1786140348.480446,10520.018,34.115,left,double-click
116,1786140348.68827,10727.842,207.824,left,single-click
117,1786140348.722618,10762.19,34.348,left,double-click
118,1786140348.850238,10889.81,127.62,left,single-click
119,1786140348.929237,10968.809,78.999,left,single-click
120,1786140349.106339,11145.911,177.102,left,single-click
121,1786140349.182443,11222.015,76.104,left,single-click
122,1786140349.216432,11256.004,33.989,left,double-click
123,1786140349.362422,11401.994,145.99,left,single-click
124,1786140349.464332,11503.904,101.91,left,single-click
125,1786140349.635276,11674.848,170.943,left,single-click
126,1786140349.720261,11759.833,84.985,left,single-click
127,1786140349.754272,11793.844,34.012,left,double-click
128,1786140349.877301,11916.873,123.028,left,single-click
129,1786140349.968237,12007.809,90.937,left,single-click
130,1786140350.002386,12041.958,34.149,left,double-click
131,1786140350.13738,12176.952,134.993,left,single-click
132,1786140350.214326,12253.898,76.947,left,single-click
133,1786140350.377389,12416.961,163.063,left,single-click
134,1786140350.47656,12516.132,99.171,left,single-click
135,1786140350.639232,12678.804,162.672,left,single-click
136,1786140350.721459,12761.031,82.227,left,single-click
137,1786140350.88131,12920.882,159.851,left,single-click
138,1786140350.975538,13015.11,94.228,left,single-click
139,1786140351.009292,13048.864,33.754,left,double-click
140,1786140351.135467,13175.039,126.174,left,single-click
141,1786140351.242388,13281.96,106.922,left,single-click
142,1786140351.390339,13429.911,147.95,left,single-click
143,1786140351.470318,13509.89,79.979,left,single-click
144,1786140351.6005,13640.072,130.182,left,single-click
145,1786140351.714367,13753.939,113.867,left,single-click
146,1786140351.748228,13787.8,33.861,left,double-click
147,1786140351.874323,13913.895,126.095,left,single-click
148,1786140351.949523,13989.095,75.2,left,single-click
149,1786140352.132504,14172.076,182.981,left,single-click
150,1786140352.214368,14253.94,81.865,left,single-click
151,1786140352.368295,14407.867,153.926,left,single-click
152,1786140352.456504,14496.076,88.21,left,single-click
153,1786140352.636863,14676.435,180.359,left,single-click
154,1786140352.721316,14760.888,84.452,left,single-click
155,1786140352.869329,14908.901,148.013,left,single-click
156,1786140352.95947,14999.042,90.141,left,single-click
157,1786140353.115533,15155.105,156.063,left,single-click
158,1786140353.200481,15240.053,84.948,left,single-click
159,1786140353.363322,15402.894,162.841,left,single-click
160,1786140353.443967,15483.539,80.645,left,single-click
161,1786140353.610492,15650.064,166.525,left,single-click
162,1786140353.706514,15746.086,96.022,left,single-click
163,1786140353.856672,15896.244,150.158,left,single-click
164,1786140353.95547,15995.042,98.798,left,single-click
165,1786140354.122863,16162.435,167.393,left,single-click
166,1786140354.214514,16254.086,91.651,left,single-click
167,1786140354.389789,16429.361,175.275,left,single-click
168,1786140354.47845,16518.022,88.661,left,single-click
169,1786140354.628589,16668.161,150.139,left,single-click
170,1786140354.718437,16758.009,89.848,left,single-click
171,1786140354.886606,16926.178,168.169,left,single-click
172,1786140354.989526,17029.098,102.92,left,single-click
173,1786140355.023778,17063.35,34.252,left,double-click
174,1786140355.147507,17187.079,123.729,left,single-click
175,1786140355.217695,17257.267,70.189,left,single-click
176,1786140355.395612,17435.184,177.917,left,single-click
177,1786140355.470519,17510.091,74.907,left,single-click
178,1786140355.626714,17666.286,156.194,left,single-click
179,1786140355.692694,17732.266,65.98,left,single-click
180,1786140355.860618,17900.19,167.924,left,single-click
181,1786140355.942494,17982.066,81.876,left,single-click
182,1786140356.08152,18121.092,139.027,left,single-click
183,1786140356.163481,18203.053,81.961,left,single-click
184,1786140356.319756,18359.328,156.275,left,single-click
185,1786140356.420705,18460.277,100.949,left,single-click
186,1786140356.564609,18604.181,143.904,left,single-click
187,1786140356.77679,18816.362,212.181,left,single-click
188,1786140356.935031,18974.603,158.241,left,single-click
189,1786140357.074653,19114.225,139.622,left,single-click
190,1786140357.197566,19237.138,122.914,left,single-click
191,1786140357.359216,19398.788,161.65,left,single-click
192,1786140357.479694,19519.266,120.478,left,single-click
193,1786140357.634678,19674.25,154.984,left,single-click
194,1786140357.750692,19790.264,116.014,left,single-click
195,1786140358.191666,20231.238,440.974,left,single-click
196,1786140358.22586,20265.432,34.194,left,double-click
197,1786140358.288496,20328.068,62.636,left,single-click
198,1786140358.451488,20491.06,162.992,left,single-click
199,1786140358.529798,20569.37,78.31,left,single-click
200,1786140358.675539,20715.111,145.742,left,single-click
201,1786140358.760194,20799.766,84.654,left,single-click
202,1786140358.793543,20833.115,33.35,left,double-click
203,1786140358.924527,20964.099,130.983,left,single-click
204,1786140359.024525,21064.097,99.998,left,single-click
205,1786140359.058502,21098.074,33.977,left,double-click
206,1786140359.18453,21224.102,126.029,left,single-click
207,1786140359.259701,21299.273,75.171,left,single-click
208,1786140359.444597,21484.169,184.896,left,single-click
209,1786140359.5231,21562.672,78.503,left,single-click
210,1786140359.688569,21728.141,165.469,left,single-click
211,1786140359.752122,21791.694,63.553,left,single-click
212,1786140359.78553,21825.102,33.407,left,double-click
213,1786140359.933778,21973.35,148.248,left,single-click
214,1786140360.012677,22052.249,78.899,left,single-click
215,1786140360.046529,22086.101,33.852,left,double-click
216,1786140360.197684,22237.256,151.155,left,single-click
217,1786140360.264682,22304.254,66.998,left,single-click
218,1786140360.300635,22340.207,35.953,left,double-click
219,1786140360.430746,22470.318,130.111,left,single-click
220,1786140360.510903,22550.475,80.157,left,single-click
221,1786140360.544535,22584.107,33.632,left,double-click
222,1786140360.675687,22715.259,131.153,left,single-click
223,1786140360.755703,22795.275,80.016,left,single-click
224,1786140360.929929,22969.501,174.225,left,single-click
225,1786140360.996597,23036.169,66.669,left,single-click
226,1786140361.156544,23196.116,159.947,left,single-click
227,1786140361.235708,23275.28,79.164,left,single-click
228,1786140361.415793,23455.365,180.085,left,single-click
229,1786140361.505608,23545.18,89.815,left,single-click
230,1786140361.683694,23723.266,178.087,left,single-click
231,1786140361.780643,23820.215,96.948,left,single-click
232,1786140361.814569,23854.141,33.926,left,double-click
233,1786140361.941119,23980.691,126.55,left,single-click
234,1786140362.051793,24091.365,110.674,left,single-click
235,1786140362.219979,24259.551,168.186,left,single-click
236,1786140362.322944,24362.516,102.965,left,single-click
237,1786140362.356794,24396.366,33.85,left,double-click
238,1786140362.484755,24524.327,127.961,left,single-click
239,1786140362.582863,24622.435,98.108,left,single-click
240,1786140362.748816,24788.388,165.954,left,single-click
241,1786140362.832607,24872.179,83.79,left,single-click
242,1786140362.998819,25038.391,166.213,left,single-click
243,1786140363.078887,25118.459,80.067,left,single-click
244,1786140363.25877,25298.342,179.883,left,single-click
245,1786140363.354015,25393.587,95.245,left,single-click
246,1786140363.530845,25570.417,176.83,left,single-click
247,1786140363.610788,25650.36,79.943,left,single-click
248,1786140363.75322,25792.792,142.432,left,single-click
249,1786140363.846009,25885.581,92.788,left,single-click
250,1786140364.033868,26073.44,187.86,left,single-click
251,1786140364.094816,26134.388,60.948,left,single-click
252,1786140364.260839,26300.411,166.023,left,single-click
253,1786140364.348827,26388.399,87.987,left,single-click
254,1786140364.383615,26423.187,34.788,left,double-click
255,1786140364.545837,26585.409,162.222,left,single-click
256,1786140364.579739,26619.311,33.902,left,double-click
257,1786140364.635923,26675.495,56.185,left,single-click
258,1786140364.771477,26811.049,135.554,left,single-click
259,1786140364.870193,26909.765,98.716,left,single-click
260,1786140365.026761,27066.333,156.568,left,single-click
261,1786140365.135159,27174.731,108.398,left,single-click
262,1786140365.282758,27322.33,147.599,left,single-click
263,1786140365.381907,27421.479,99.149,left,single-click
264,1786140365.521989,27561.561,140.082,left,single-click
265,1786140365.6248,27664.372,102.81,left,single-click
266,1786140365.791812,27831.384,167.012,left,single-click
267,1786140365.887173,27926.745,95.361,left,single-click
268,1786140366.041932,28081.504,154.759,left,single-click
269,1786140366.134916,28174.488,92.983,left,single-click
270,1786140366.300764,28340.336,165.848,left,single-click
271,1786140366.339858,28379.43,39.093,left,double-click
272,1786140366.51893,28558.502,179.072,left,single-click
273,1786140366.606802,28646.374,87.872,left,single-click
274,1786140366.640807,28680.379,34.005,left,double-click
275,1786140366.767078,28806.65,126.271,left,single-click
276,1786140366.859987,28899.559,92.909,left,single-click
277,1786140367.00997,29049.542,149.982,left,single-click
278,1786140367.089628,29129.2,79.659,left,single-click
279,1786140367.260944,29300.516,171.315,left,single-click
280,1786140367.370089,29409.661,109.145,left,single-click
281,1786140367.541281,29580.853,171.192,left,single-click
282,1786140367.640822,29680.394,99.541,left,single-click
283,1786140367.798966,29838.538,158.144,left,single-click
284,1786140367.872036,29911.608,73.07,left,single-click
285,1786140368.026334,30065.906,154.298,left,single-click
286,1786140368.118869,30158.441,92.535,left,single-click
287,1786140368.278877,30318.449,160.008,left,single-click
288,1786140368.355899,30395.471,77.022,left,single-click
289,1786140368.516976,30556.548,161.077,left,single-click
290,1786140368.61579,30655.362,98.814,left,single-click
291,1786140368.779073,30818.645,163.283,left,single-click
292,1786140368.851871,30891.443,72.797,left,single-click
293,1786140369.018917,31058.489,167.047,left,single-click
294,1786140369.1089,31148.472,89.983,left,single-click
295,1786140369.263882,31303.454,154.982,left,single-click
296,1786140369.297903,31337.475,34.021,left,double-click
297,1786140369.350119,31389.691,52.216,left,single-click
298,1786140369.384378,31423.95,34.258,left,double-click
299,1786140369.505825,31545.397,121.447,left,single-click
300,1786140369.573939,31613.511,68.114,left,single-click
301,1786140369.730895,31770.467,156.956,left,single-click
302,1786140369.82388,31863.452,92.985,left,single-click
303,1786140370.003138,32042.71,179.258,left,single-click
304,1786140370.081857,32121.429,78.719,left,single-click
305,1786140370.241996,32281.568,160.139,left,single-click
306,1786140370.340193,32379.765,98.197,left,single-click
307,1786140370.514105,32553.677,173.913,left,single-click
308,1786140370.59006,32629.632,75.955,left,single-click
309,1786140370.763262,32802.834,173.202,left,single-click
310,1786140370.840994,32880.566,77.732,left,single-click
311,1786140371.002762,33042.334,161.768,left,single-click
312,1786140371.085207,33124.779,82.445,left,single-click
313,1786140371.119046,33158.618,33.84,left,double-click
314,1786140371.255955,33295.527,136.908,left,single-click
315,1786140371.333072,33372.644,77.117,left,single-click
316,1786140371.517108,33556.68,184.036,left,single-click
317,1786140371.588247,33627.819,71.139,left,single-click
318,1786140371.760113,33799.685,171.865,left,single-click
319,1786140371.840116,33879.688,80.003,left,single-click
320,1786140371.874559,33914.131,34.443,left,double-click
321,1786140372.00904,34048.612,134.481,left,single-click
322,1786140372.071153,34110.725,62.114,left,single-click
323,1786140372.241184,34280.756,170.031,left,single-click
324,1786140372.332128,34371.7,90.943,left,single-click
325,1786140372.502095,34541.667,169.968,left,single-click
326,1786140372.605145,34644.717,103.049,left,single-click
327,1786140372.765277,34804.849,160.132,left,single-click
328,1786140372.854271,34893.843,88.994,left,single-click
329,1786140372.998081,35037.653,143.81,left,single-click
330,1786140373.099062,35138.634,100.981,left,single-click
331,1786140373.26319,35302.762,164.128,left,single-click
332,1786140373.511434,35551.006,248.244,left,single-click
333,1786140373.595874,35635.446,84.44,left,single-click
334,1786140373.762146,35801.718,166.271,left,single-click
335,1786140373.839083,35878.655,76.938,left,single-click
336,1786140374.001378,36040.95,162.295,left,single-click
337,1786140374.072252,36111.824,70.874,left,single-click
338,1786140374.23214,36271.712,159.888,left,single-click
339,1786140374.318033,36357.605,85.893,left,single-click
340,1786140374.353149,36392.721,35.116,left,double-click
341,1786140374.49709,36536.662,143.941,left,single-click
342,1786140374.559614,36599.186,62.524,left,single-click
343,1786140374.728463,36768.035,168.849,left,single-click
344,1786140374.814799,36854.371,86.336,left,single-click
345,1786140374.848066,36887.638,33.267,left,double-click
346,1786140374.988344,37027.916,140.278,left,single-click
347,1786140375.243342,37282.914,254.999,left,single-click
348,1786140375.493277,37532.849,249.934,left,single-click
349,1786140375.561162,37600.734,67.885,left,single-click
350,1786140375.729456,37769.028,168.295,left,single-click
351,1786140375.809173,37848.745,79.717,left,single-click
352,1786140375.972092,38011.664,162.919,left,single-click
353,1786140376.078152,38117.724,106.061,left,single-click
354,1786140376.229079,38268.651,150.927,left,single-click
355,1786140376.263081,38302.653,34.002,left,double-click
356,1786140376.340218,38379.79,77.137,left,single-click
357,1786140376.374086,38413.658,33.868,left,double-click
358,1786140376.499233,38538.805,125.148,left,single-click
359,1786140376.533057,38572.629,33.824,left,double-click
360,1786140376.59025,38629.822,57.193,left,single-click
361,1786140376.828198,38867.77,237.949,left,single-click
362,1786140377.009117,39048.689,180.918,left,single-click
363,1786140377.115292,39154.864,106.175,left,single-click
364,1786140377.149071,39188.643,33.779,left,double-click
365,1786140377.286912,39326.484,137.841,left,single-click
366,1786140377.386085,39425.657,99.173,left,single-click
367,1786140377.420653,39460.225,34.568,left,double-click
368,1786140377.553446,39593.018,132.793,left,single-click
369,1786140377.649128,39688.7,95.682,left,single-click
370,1786140377.806166,39845.738,157.038,left,single-click
371,1786140377.90465,39944.222,98.484,left,single-click
372,1786140378.08111,40120.682,176.46,left,single-click
373,1786140378.189485,40229.057,108.375,left,single-click
374,1786140378.223097,40262.669,33.612,left,double-click
375,1786140378.36571,40405.282,142.612,left,single-click
376,1786140378.399343,40438.915,33.633,left,double-click
377,1786140378.466148,40505.72,66.805,left,single-click
378,1786140378.500239,40539.811,34.091,left,double-click
379,1786140378.63035,40669.922,130.111,left,single-click
380,1786140378.737296,40776.868,106.946,left,single-click
381,1786140378.905305,40944.877,168.009,left,single-click
382,1786140379.013887,41053.459,108.581,left,single-click
383,1786140379.047318,41086.89,33.431,left,double-click
384,1786140379.186315,41225.887,138.997,left,single-click
385,1786140379.285439,41325.011,99.124,left,single-click
386,1786140379.456417,41495.989,170.978,left,single-click
387,1786140379.548309,41587.881,91.892,left,single-click
388,1786140379.74447,41784.042,196.161,left,single-click
389,1786140379.778253,41817.825,33.782,left,double-click
390,1786140379.818457,41858.029,40.204,left,double-click
391,1786140379.995668,42035.24,177.211,left,single-click
392,1786140380.081841,42121.413,86.174,left,single-click
393,1786140380.115463,42155.035,33.622,left,double-click
394,1786140380.248408,42287.98,132.945,left,single-click
395,1786140380.319261,42358.833,70.852,left,single-click
396,1786140380.354327,42393.899,35.067,left,double-click
397,1786140380.502441,42542.013,148.114,left,single-click
398,1786140380.53633,42575.902,33.889,left,double-click
399,1786140380.579353,42618.925,43.022,left,double-click
400,1786140380.772287,42811.859,192.935,left,single-click
401,1786140380.80654,42846.112,34.252,left,double-click
402,1786140380.840273,42879.845,33.733,left,double-click
403,1786140381.044784,43084.356,204.511,left,single-click
404,1786140381.078287,43117.859,33.503,left,double-click
405,1786140381.301269,43340.841,222.982,left,single-click
406,1786140381.394465,43434.037,93.196,left,single-click
407,1786140381.574339,43613.911,179.873,left,single-click
408,1786140381.664281,43703.853,89.942,left,single-click
409,1786140381.698741,43738.313,34.461,left,double-click
410,1786140381.85744,43897.012,158.699,left,single-click
411,1786140381.891472,43931.044,34.032,left,double-click
412,1786140381.953469,43993.041,61.997,left,single-click
413,1786140381.987574,44027.146,34.105,left,double-click
414,1786140382.127545,44167.117,139.971,left,single-click
415,1786140382.240345,44279.917,112.8,left,single-click
416,1786140382.410351,44449.923,170.006,left,single-click
417,1786140382.524511,44564.083,114.16,left,single-click
418,1786140382.558396,44597.968,33.885,left,double-click
419,1786140382.694302,44733.874,135.906,left,single-click
420,1786140382.804337,44843.909,110.035,left,single-click
421,1786140382.838298,44877.87,33.962,left,double-click
422,1786140382.984364,45023.936,146.065,left,single-click
423,1786140383.071545,45111.117,87.181,left,single-click
424,1786140383.105319,45144.891,33.774,left,double-click
425,1786140383.259323,45298.895,154.003,left,single-click
426,1786140383.341545,45381.117,82.222,left,single-click
427,1786140383.500345,45539.917,158.8,left,single-click
428,1786140383.579437,45619.009,79.092,left,single-click
429,1786140383.775381,45814.953,195.944,left,single-click
430,1786140383.855452,45895.024,80.071,left,single-click
431,1786140384.032379,46071.951,176.927,left,single-click
432,1786140384.066384,46105.956,34.004,left,double-click
433,1786140384.108549,46148.121,42.165,left,double-click
434,1786140384.142467,46182.039,33.918,left,double-click
435,1786140384.288519,46328.091,146.052,left,single-click
436,1786140384.364347,46403.919,75.828,left,single-click
437,1786140384.552596,46592.168,188.249,left,single-click
438,1786140384.636814,46676.386,84.218,left,single-click
439,1786140384.670344,46709.916,33.53,left,double-click
440,1786140384.826146,46865.718,155.802,left,single-click
441,1786140384.860412,46899.984,34.266,left,double-click
442,1786140384.903515,46943.087,43.103,left,double-click
443,1786140384.937381,46976.953,33.867,left,double-click
444,1786140385.105078,47144.65,167.697,left,single-click
445,1786140385.360536,47400.108,255.458,left,single-click
446,1786140385.432694,47472.266,72.158,left,single-click
447,1786140385.466736,47506.308,34.042,left,double-click
448,1786140385.649406,47688.978,182.67,left,single-click
449,1786140385.913462,47953.034,264.056,left,single-click
450,1786140385.991413,48030.985,77.951,left,single-click
451,1786140386.026553,48066.125,35.14,left,double-click
452,1786140386.179449,48219.021,152.896,left,single-click
453,1786140386.527631,48567.203,348.182,left,single-click
454,1786140386.79166,48831.232,264.029,left,single-click
455,1786140386.825466,48865.038,33.807,left,double-click
456,1786140386.948584,48988.156,123.117,left,single-click
457,1786140387.037675,49077.247,89.091,left,single-click
458,1786140387.226256,49265.828,188.581,left,single-click
459,1786140387.259574,49299.146,33.319,left,double-click
460,1786140387.297826,49337.398,38.252,left,double-click
461,1786140387.485794,49525.366,187.967,left,single-click
462,1786140387.558597,49598.169,72.804,left,single-click
463,1786140387.742528,49782.1,183.931,left,single-click
464,1786140387.834608,49874.18,92.08,left,single-click
465,1786140388.038382,50077.954,203.773,left,single-click
466,1786140388.094579,50134.151,56.197,left,single-click
467,1786140388.299703,50339.275,205.124,left,single-click
468,1786140388.361609,50401.181,61.906,left,single-click
469,1786140388.554533,50594.105,192.924,left,single-click
470,1786140388.612747,50652.319,58.214,left,single-click
471,1786140388.815664,50855.236,202.916,left,single-click
472,1786140389.088568,51128.14,272.904,left,single-click
473,1786140389.122869,51162.441,34.302,left,double-click
474,1786140389.337605,51377.177,214.736,left,single-click
475,1786140389.443601,51483.173,105.995,left,single-click
476,1786140389.628639,51668.211,185.038,left,single-click
477,1786140389.711025,51750.597,82.387,left,single-click
478,1786140389.899108,51938.68,188.082,left,single-click
479,1786140389.979527,52019.099,80.42,left,single-click
480,1786140390.161644,52201.216,182.116,left,single-click
481,1786140390.412627,52452.199,250.983,left,single-click
482,1786140390.48372,52523.292,71.094,left,single-click
483,1786140390.909734,52949.306,426.013,left,single-click
484,1786140391.109705,53149.277,199.972,left,single-click
485,1786140391.311688,53351.26,201.982,left,single-click
486,1786140391.501688,53541.26,190.001,left,single-click
487,1786140391.535734,53575.306,34.046,left,double-click
488,1786140391.684618,53724.19,148.883,left,single-click
489,1786140391.720592,53760.164,35.974,left,double-click
490,1786140392.073667,54113.239,353.075,left,single-click
491,1786140392.107687,54147.259,34.02,left,double-click
492,1786140392.274858,54314.43,167.17,left,single-click
493,1786140392.342575,54382.147,67.718,left,single-click
494,1786140392.376566,54416.138,33.991,left,double-click
495,1786140392.587787,54627.359,211.221,left,single-click
496,1786140392.622646,54662.218,34.859,left,double-click
497,1786140392.764762,54804.334,142.116,left,single-click
498,1786140392.86177,54901.342,97.008,left,single-click
499,1786140393.023561,55063.133,161.791,left,single-click
500,1786140393.103669,55143.241,80.107,left,single-click
501,1786140393.137509,55177.081,33.841,left,double-click
502,1786140393.279721,55319.293,142.212,left,single-click
503,1786140393.333961,55373.533,54.239,left,single-click
504,1786140393.370638,55410.21,36.677,left,double-click
505,1786140393.53775,55577.322,167.112,left,single-click
506,1786140393.610608,55650.18,72.859,left,single-click
507,1786140393.788667,55828.239,178.059,left,single-click
508,1786140394.063679,56103.251,275.012,left,single-click
509,1786140394.097688,56137.26,34.009,left,double-click
510,1786140394.312681,56352.253,214.993,left,single-click
511,1786140394.349769,56389.341,37.088,left,double-click
512,1786140394.383992,56423.564,34.223,left,double-click
513,1786140394.591688,56631.26,207.696,left,single-click
514,1786140394.642903,56682.475,51.215,left,single-click
515,1786140394.862987,56902.559,220.084,left,single-click
516,1786140394.896686,56936.258,33.699,left,double-click
517,1786140395.11717,57156.742,220.484,left,single-click
518,1786140395.185317,57224.889,68.147,left,single-click
519,1786140395.396308,57435.88,210.991,left,single-click
520,1786140395.438637,57478.209,42.329,left,double-click
521,1786140395.644463,57684.035,205.827,left,single-click
522,1786140395.67802,57717.592,33.557,left,double-click
523,1786140395.907863,57947.435,229.843,left,single-click
524,1786140395.949254,57988.826,41.391,left,double-click
525,1786140396.168906,58208.478,219.652,left,single-click
526,1786140396.42382,58463.392,254.913,left,single-click
527,1786140396.457997,58497.569,34.177,left,double-click
528,1786140396.492036,58531.608,34.039,left,double-click
529,1786140396.699876,58739.448,207.84,left,single-click
530,1786140396.734016,58773.588,34.14,left,double-click
531,1786140396.969878,59009.45,235.862,left,single-click
532,1786140397.237036,59276.608,267.158,left,single-click
533,1786140397.272014,59311.586,34.978,left,double-click
534,1786140397.508866,59548.438,236.852,left,single-click
535,1786140397.5428,59582.372,33.934,left,double-click
536,1786140397.769967,59809.539,227.167,left,single-click
537,1786140397.804199,59843.771,34.232,left,double-click
