click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786140337.960428,0.0,0.0,left,single-click
2,1786140338.092796,132.368,132.368,left,single-click
3,1786140338.190895,230.467,98.098,left,single-click
4,1786140338.225095,264.667,34.2,left,double-click
5,1786140338.319913,359.485,94.819,left,single-click
6,1786140338.410037,449.609,90.123,left,single-click
7,1786140338.444689,484.261,34.652,left,double-click
8,1786140338.53809,577.662,93.401,left,single-click
9,1786140338.640898,680.47,102.808,left,single-click
10,1786140338.674982,714.554,34.084,left,double-click
11,1786140338.771853,811.425,96.871,left,single-click
12,1786140338.86295,902.522,91.097,left,single-click
13,1786140338.99697,1036.542,134.02,left,single-click
14,1786140339.093023,1132.595,96.053,left,single-click
15,1786140339.12724,1166.812,34.217,left,double-click
16,1786140339.221932,1261.504,94.692,left,single-click
17,1786140339.309122,1348.694,87.19,left,single-click
18,1786140339.450944,1490.516,141.823,left,single-click
19,1786140339.541809,1581.381,90.865,left,single-click
20,1786140339.576239,1615.811,34.43,left,double-click
21,1786140339.684,1723.572,107.761,left,single-click
22,1786140339.76607,1805.642,82.069,left,single-click
23,1786140339.894957,1934.529,128.887,left,single-click
24,1786140339.989205,2028.777,94.248,left,single-click
25,1786140340.123078,2162.65,133.873,left,single-click
26,1786140340.213621,2253.193,90.543,left,single-click
27,1786140340.24703,2286.602,33.409,left,double-click
28,1786140340.357146,2396.718,110.115,left,single-click
29,1786140340.450071,2489.643,92.925,left,single-click
30,1786140340.483951,2523.523,33.88,left,double-click
31,1786140340.5769,2616.472,92.948,left,single-click
32,1786140340.675928,2715.5,99.028,left,single-click
33,1786140340.789953,2829.525,114.025,left,single-click
34,1786140340.883923,2923.495,93.97,left,single-click
35,1786140341.029061,3068.633,145.138,left,single-click
36,1786140341.112002,3151.574,82.941,left,single-click
37,1786140341.146346,3185.918,34.344,left,double-click
38,1786140341.365959,3405.531,219.613,left,single-click
39,1786140341.400132,3439.704,34.173,left,double-click
