click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786129742.269044,0.0,0.0,left,single-click
2,1786129742.302574,33.53,33.53,left,double-click
3,1786129742.366751,97.707,64.177,left,single-click
4,1786129742.400509,131.465,33.758,left,double-click
5,1786129742.506717,237.673,106.208,left,single-click
6,1786129742.540532,271.488,33.815,left,double-click
7,1786129742.60777,338.726,67.238,left,single-click
8,1786129742.642394,373.35,34.624,left,double-click
9,1786129742.750812,481.767,108.418,left,single-click
10,1786129742.851758,582.714,100.947,left,single-click
11,1786129742.885407,616.363,33.648,left,double-click
12,1786129743.017935,748.891,132.528,left,single-click
13,1786129743.051872,782.827,33.937,left,double-click
14,1786129743.118651,849.607,66.78,left,single-click
15,1786129743.152395,883.351,33.744,left,double-click
16,1786129743.281037,1011.993,128.642,left,single-click
17,1786129743.314496,1045.451,33.458,left,double-click
18,1786129743.384834,1115.79,70.338,left,single-click
19,1786129743.545502,1276.458,160.668,left,single-click
20,1786129743.580157,1311.113,34.655,left,double-click
21,1786129743.649563,1380.519,69.406,left,single-click
22,1786129743.686474,1417.43,36.911,left,double-click
23,1786129743.800672,1531.628,114.198,left,single-click
24,1786129743.834743,1565.699,34.071,left,double-click
25,1786129743.897606,1628.561,62.862,left,single-click
26,1786129744.063877,1794.832,166.271,left,single-click
27,1786129744.097491,1828.446,33.614,left,double-click
28,1786129744.153585,1884.541,56.094,left,single-click
29,1786129744.187787,1918.742,34.202,left,double-click
30,1786129744.324019,2054.975,136.233,left,single-click
31,1786129744.357437,2088.393,33.418,left,double-click
32,1786129744.409829,2140.785,52.391,left,single-click
33,1786129744.443506,2174.461,33.677,left,double-click
34,1786129744.571881,2302.837,128.375,left,single-click
35,1786129744.605501,2336.457,33.62,left,double-click
36,1786129744.679688,2410.644,74.187,left,single-click
37,1786129744.713461,2444.417,33.773,left,double-click
38,1786129744.822161,2553.117,108.7,left,single-click
39,1786129744.924897,2655.853,102.736,left,single-click
40,1786129744.958487,2689.443,33.59,left,double-click
41,1786129745.088653,2819.609,130.166,left,single-click
42,1786129745.184868,2915.824,96.215,left,single-click
43,1786129745.218517,2949.472,33.648,left,double-click
44,1786129745.335848,3066.804,117.332,left,single-click
45,1786129745.417885,3148.841,82.037,left,single-click
46,1786129745.451884,3182.84,33.999,left,double-click
47,1786129745.580064,3311.019,128.18,left,single-click
48,1786129745.613522,3344.478,33.459,left,double-click
49,1786129745.678687,3409.643,65.165,left,single-click
50,1786129745.712602,3443.558,33.915,left,double-click
51,1786129745.822915,3553.871,110.313,left,single-click
52,1786129745.923891,3654.846,100.975,left,single-click
53,1786129745.959448,3690.404,35.557,left,double-click
54,1786129746.069008,3799.964,109.56,left,single-click
55,1786129746.102924,3833.88,33.916,left,double-click
56,1786129746.175862,3906.817,72.937,left,single-click
57,1786129746.209665,3940.621,33.803,left,double-click
58,1786129746.326062,4057.018,116.397,left,single-click
59,1786129746.359675,4090.631,33.613,left,double-click
60,1786129746.434834,4165.79,75.16,left,single-click
61,1786129746.468982,4199.938,34.148,left,double-click
62,1786129746.569804,4300.76,100.821,left,single-click
63,1786129746.664711,4395.667,94.907,left,single-click
64,1786129746.698815,4429.77,34.104,left,double-click
65,1786129746.817937,4548.893,119.123,left,single-click
66,1786129746.908112,4639.067,90.174,left,single-click
67,1786129746.941828,4672.784,33.717,left,double-click
68,1786129747.053159,4784.115,111.331,left,single-click
69,1786129747.086594,4817.55,33.435,left,double-click
70,1786129747.146803,4877.759,60.209,left,single-click
71,1786129747.180777,4911.732,33.973,left,double-click
