click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
56,1786145496.24297,4470.09,75.012,16.988,left,single-click
57,1786145496.276911,4504.031,33.942,43.143,left,double-click
58,1786145496.424366,4651.486,147.455,16.51,left,single-click
59,1786145496.457893,4685.014,33.528,17.133,left,double-click
60,1786145496.525164,4752.284,67.271,15.798,left,single-click
61,1786145496.56093,4788.051,35.767,16.989,left,double-click
62,1786145496.695042,4922.163,134.112,16.937,left,single-click
63,1786145496.758085,4985.205,63.042,60.969,left,single-click
64,1786145496.950119,5177.239,192.034,52.943,left,single-click
65,1786145497.042066,5269.186,91.947,16.917,left,single-click
66,1786145497.075918,5303.039,33.852,38.111,left,double-click
67,1786145497.204974,5432.094,129.056,52.067,left,single-click
68,1786145497.305021,5532.141,100.047,16.971,left,single-click
69,1786145497.339557,5566.677,34.536,24.419,left,double-click
70,1786145497.474939,5702.059,135.382,17.041,left,single-click
71,1786145497.55496,5782.08,80.021,52.001,left,single-click
72,1786145497.711987,5939.107,157.027,17.133,left,single-click
73,1786145497.746008,5973.128,34.021,17.937,left,double-click
74,1786145497.794979,6022.099,48.971,77.498,left,double-click
75,1786145497.962012,6189.132,167.033,67.967,left,single-click
76,1786145498.064948,6292.068,102.936,69.062,left,single-click
77,1786145498.217839,6444.959,152.891,60.333,left,single-click
78,1786145498.317939,6545.059,100.101,45.147,left,single-click
79,1786145498.461953,6689.073,144.014,49.067,left,single-click
80,1786145498.54694,6774.06,84.987,53.058,left,single-click
81,1786145498.697955,6925.075,151.014,39.079,left,single-click
82,1786145498.775927,7003.047,77.972,65.268,left,single-click
83,1786145498.925043,7152.163,149.116,61.043,left,single-click
84,1786145499.022969,7250.089,97.925,16.998,left,single-click
85,1786145499.057015,7284.135,34.046,43.022,left,double-click
86,1786145499.187024,7414.145,130.01,55.099,left,single-click
87,1786145499.286983,7514.104,99.959,17.051,left,single-click
88,1786145499.320951,7548.071,33.968,29.073,left,double-click
89,1786145499.442991,7670.111,122.04,17.23,left,single-click
90,1786145499.542963,7770.083,99.972,17.033,left,single-click
91,1786145499.688142,7915.262,145.18,40.851,left,single-click
92,1786145499.777034,8004.154,88.892,17.058,left,single-click
93,1786145499.811019,8038.14,33.986,16.966,left,double-click
94,1786145499.919994,8147.114,108.974,65.073,left,single-click
95,1786145500.007097,8234.218,87.104,81.077,left,single-click
96,1786145500.168076,8395.196,160.978,68.278,left,single-click
97,1786145500.264,8491.12,95.924,58.136,left,single-click
98,1786145500.418303,8645.423,154.304,56.881,left,single-click
99,1786145500.514104,8741.225,95.801,17.946,left,single-click
100,1786145500.549007,8776.128,34.903,51.042,left,double-click
101,1786145500.685008,8912.128,136.0,69.021,left,single-click
102,1786145500.780048,9007.168,95.04,73.163,left,single-click
103,1786145500.95117,9178.291,171.123,54.87,left,single-click
104,1786145501.055095,9282.215,103.924,50.108,left,single-click
105,1786145501.201111,9428.231,146.016,60.119,left,single-click
106,1786145501.296264,9523.384,95.153,88.782,left,single-click
107,1786145501.444163,9671.283,147.899,62.885,left,single-click
108,1786145501.552516,9779.636,108.353,55.512,left,single-click
109,1786145501.687076,9914.196,134.56,54.015,left,single-click
110,1786145501.788193,10015.313,101.117,58.945,left,single-click
111,1786145501.938033,10165.153,149.84,45.018,left,single-click
112,1786145502.031136,10258.256,93.103,17.129,left,single-click
113,1786145502.06518,10292.3,34.044,28.861,left,double-click
114,1786145502.172018,10399.138,106.838,64.129,left,single-click
115,1786145502.267007,10494.127,94.989,53.061,left,single-click
116,1786145502.441064,10668.184,174.057,17.011,left,single-click
117,1786145502.527202,10754.323,86.139,58.898,left,single-click
118,1786145502.699018,10926.138,171.815,17.12,left,single-click
119,1786145502.792034,11019.155,93.017,55.028,left,single-click
120,1786145502.94239,11169.51,150.355,52.736,left,single-click
121,1786145503.03302,11260.141,90.631,47.065,left,single-click
122,1786145503.187009,11414.129,153.989,46.079,left,single-click
123,1786145503.2782,11505.32,91.191,16.854,left,single-click
124,1786145503.312169,11539.289,33.969,19.011,left,double-click
125,1786145503.441281,11668.401,129.112,47.776,left,single-click
126,1786145503.532052,11759.172,90.771,17.025,left,single-click
127,1786145503.566071,11793.191,34.019,17.023,left,double-click
128,1786145503.697131,11924.251,131.06,16.963,left,single-click
129,1786145503.731086,11958.207,33.956,17.151,left,double-click
130,1786145503.788047,12015.167,56.961,17.04,left,single-click
131,1786145503.822218,12049.338,34.171,17.826,left,double-click
132,1786145503.944182,12171.302,121.964,52.922,left,single-click
133,1786145504.060247,12287.367,116.065,16.992,left,single-click
134,1786145504.094064,12321.185,33.818,17.043,left,double-click
135,1786145504.228179,12455.299,134.115,79.026,left,single-click
136,1786145504.343179,12570.299,114.999,17.053,left,single-click
137,1786145504.37717,12604.29,33.992,62.021,left,double-click
138,1786145504.528221,12755.342,151.051,78.992,left,single-click
139,1786145504.659219,12886.339,130.997,61.04,left,single-click
140,1786145504.837332,13064.453,178.114,16.894,left,single-click
141,1786145504.931286,13158.406,93.953,46.92,left,single-click
142,1786145505.104198,13331.318,172.912,17.34,left,single-click
143,1786145505.139282,13366.402,35.084,16.973,left,double-click
144,1786145505.190211,13417.331,50.929,54.007,left,single-click
145,1786145505.35733,13584.45,167.119,61.883,left,single-click
146,1786145505.451277,13678.397,93.947,67.023,left,single-click
147,1786145505.627271,13854.392,175.995,65.07,left,single-click
148,1786145505.734193,13961.313,106.922,17.167,left,single-click
149,1786145505.768206,13995.326,34.013,17.153,left,double-click
150,1786145505.903189,14130.31,134.984,17.11,left,single-click
151,1786145506.003271,14230.391,100.082,19.964,left,single-click
152,1786145506.040213,14267.333,36.942,17.008,left,double-click
153,1786145506.151416,14378.536,111.204,80.972,left,single-click
154,1786145506.252297,14479.417,100.88,50.991,left,single-click
155,1786145506.420374,14647.494,168.077,82.928,left,single-click
156,1786145506.533559,14760.679,113.185,16.849,left,single-click
157,1786145506.709284,14936.404,175.725,107.116,left,single-click
158,1786145507.417337,15644.458,708.054,16.772,left,single-click
159,1786145507.603234,15830.354,185.896,17.042,left,single-click
160,1786145507.637235,15864.355,34.001,17.066,left,double-click
161,1786145507.70419,15931.31,66.955,17.377,left,single-click
162,1786145507.872155,16099.275,167.965,17.313,left,single-click
163,1786145507.974533,16201.653,102.378,17.033,left,single-click
164,1786145508.008261,16235.381,33.728,17.043,left,double-click
165,1786145508.100097,16327.218,91.836,17.196,left,single-click
166,1786145508.134246,16361.366,34.148,17.044,left,double-click
167,1786145508.197433,16424.553,63.187,16.854,left,single-click
168,1786145508.231297,16458.417,33.864,19.047,left,double-click
169,1786145508.33236,16559.48,101.063,49.259,left,single-click
170,1786145508.424239,16651.359,91.879,49.454,left,single-click
171,1786145508.574252,16801.372,150.013,17.2,left,single-click
172,1786145508.644243,16871.363,69.991,50.155,left,single-click
173,1786145508.788414,17015.534,144.17,81.164,left,single-click
174,1786145508.886234,17113.354,97.82,52.118,left,single-click
175,1786145509.043275,17270.395,157.041,70.057,left,single-click
176,1786145509.130285,17357.405,87.009,39.152,left,single-click
177,1786145509.284484,17511.604,154.199,16.89,left,single-click
178,1786145509.376291,17603.411,91.807,54.046,left,single-click
179,1786145509.531396,17758.516,155.104,67.068,left,single-click
180,1786145509.628303,17855.423,96.907,49.019,left,single-click
181,1786145509.78246,18009.58,154.157,63.067,left,single-click
182,1786145509.890559,18117.679,108.099,47.774,left,single-click
183,1786145510.041435,18268.556,150.876,16.894,left,single-click
184,1786145510.119274,18346.394,77.838,58.397,left,single-click
185,1786145510.29933,18526.45,180.056,16.988,left,single-click
186,1786145510.33328,18560.4,33.95,17.056,left,double-click
187,1786145510.392333,18619.453,59.053,60.117,left,single-click
188,1786145510.563358,18790.478,171.025,80.991,left,single-click
189,1786145510.661314,18888.434,97.957,17.091,left,single-click
190,1786145510.821393,19048.513,160.079,17.021,left,single-click
191,1786145510.855336,19082.456,33.943,23.968,left,double-click
192,1786145510.910323,19137.443,54.987,41.978,left,single-click
193,1786145511.086345,19313.465,176.022,17.022,left,single-click
194,1786145511.120301,19347.421,33.956,17.026,left,double-click
195,1786145511.170384,19397.504,50.084,48.002,left,single-click
196,1786145511.335298,19562.418,164.914,206.587,left,single-click
197,1786145511.632339,19859.459,297.041,16.999,left,single-click
198,1786145511.740343,19967.463,108.004,17.025,left,single-click
199,1786145511.892413,20119.533,152.07,16.926,left,single-click
200,1786145511.97722,20204.34,84.806,47.631,left,single-click
201,1786145512.122449,20349.569,145.229,76.042,left,single-click
202,1786145512.232468,20459.588,110.019,74.389,left,single-click
203,1786145512.399512,20626.632,167.044,67.048,left,single-click
204,1786145512.506447,20733.567,106.935,39.031,left,single-click
205,1786145512.651516,20878.637,145.069,63.378,left,single-click
206,1786145512.731484,20958.605,79.968,33.992,left,single-click
207,1786145512.89761,21124.73,166.126,0.0,right,single-click
208,1786145512.903483,21130.604,5.873,17.06,left,double-click
209,1786145513.33946,21566.58,435.976,48.156,left,single-click
210,1786145513.522463,21749.583,183.003,67.059,left,single-click
211,1786145513.637414,21864.534,114.951,17.186,left,single-click
212,1786145513.671397,21898.518,33.983,30.28,left,double-click
213,1786145513.791539,22018.659,120.142,59.483,left,single-click
214,1786145513.894498,22121.619,102.959,17.022,left,single-click
215,1786145514.042633,22269.753,148.134,16.858,left,single-click
216,1786145514.119461,22346.581,76.828,60.053,left,single-click
217,1786145514.27461,22501.73,155.149,82.117,left,single-click
218,1786145514.373524,22600.644,98.914,41.959,left,single-click
219,1786145514.540571,22767.691,167.047,16.946,left,single-click
220,1786145514.588694,22815.814,48.123,69.855,left,double-click
221,1786145514.773485,23000.605,184.791,17.38,left,single-click
222,1786145514.807535,23034.655,34.05,20.987,left,double-click
223,1786145514.885644,23112.765,78.11,16.978,left,single-click
224,1786145514.919468,23146.589,33.824,17.035,left,double-click
225,1786145515.043516,23270.636,124.048,45.076,left,single-click
226,1786145515.105486,23332.606,61.97,56.066,left,single-click
227,1786145515.282546,23509.666,177.06,59.962,left,single-click
228,1786145515.374526,23601.646,91.98,17.08,left,single-click
229,1786145515.540538,23767.658,166.012,17.02,left,single-click
230,1786145515.574487,23801.608,33.949,17.067,left,double-click
231,1786145515.627521,23854.641,53.033,17.063,left,single-click
232,1786145515.79072,24017.84,163.199,60.27,left,single-click
233,1786145515.881526,24108.646,90.806,17.003,left,single-click
234,1786145516.057516,24284.636,175.991,17.466,left,single-click
235,1786145516.091527,24318.647,34.01,17.062,left,double-click
236,1786145516.125549,24352.669,34.022,16.976,left,double-click
237,1786145516.316549,24543.669,191.0,17.541,left,single-click
238,1786145516.383543,24610.663,66.994,17.015,left,single-click
239,1786145516.567538,24794.659,183.996,17.213,left,single-click
240,1786145516.601503,24828.623,33.964,27.046,left,double-click
241,1786145516.823931,25051.051,222.428,17.068,left,single-click
242,1786145516.862524,25089.644,38.594,17.053,left,double-click
243,1786145517.059581,25286.701,197.056,45.061,left,single-click
244,1786145517.130579,25357.699,70.998,16.965,left,single-click
245,1786145517.316516,25543.636,185.937,17.509,left,single-click
246,1786145517.368807,25595.927,52.291,16.758,left,single-click
247,1786145517.548553,25775.673,179.746,70.1,left,single-click
248,1786145517.829582,26056.702,281.029,17.073,left,single-click
249,1786145517.86367,26090.79,34.088,16.912,left,double-click
250,1786145518.067051,26294.171,203.381,16.576,left,single-click
251,1786145518.100823,26327.943,33.772,16.834,left,double-click
252,1786145518.333556,26560.676,232.733,17.238,left,single-click
253,1786145518.367642,26594.762,34.086,26.93,left,double-click
254,1786145518.585696,26812.816,218.054,16.896,left,single-click
255,1786145518.619546,26846.666,33.85,17.033,left,double-click
256,1786145518.844657,27071.778,225.112,17.056,left,single-click
257,1786145518.896641,27123.762,51.984,17.025,left,single-click
258,1786145519.09071,27317.83,194.068,17.18,left,single-click
259,1786145519.124602,27351.722,33.892,17.001,left,double-click
260,1786145519.325819,27552.939,201.217,16.772,left,single-click
261,1786145519.359555,27586.676,33.737,17.141,left,double-click
262,1786145519.571573,27798.693,212.018,31.121,left,single-click
263,1786145519.805693,28032.813,234.12,55.983,left,single-click
264,1786145520.050805,28277.925,245.112,54.909,left,single-click
265,1786145520.286722,28513.842,235.917,48.098,left,single-click
266,1786145520.351706,28578.826,64.985,52.026,left,single-click
267,1786145520.521775,28748.895,170.068,66.96,left,single-click
268,1786145520.614717,28841.837,92.942,53.467,left,single-click
269,1786145520.785838,29012.958,171.121,63.115,left,single-click
270,1786145520.900772,29127.892,114.934,17.648,left,single-click
271,1786145521.063898,29291.018,163.126,77.039,left,single-click
272,1786145521.182276,29409.396,118.378,16.585,left,single-click
273,1786145521.216168,29443.289,33.893,51.76,left,double-click
274,1786145521.349745,29576.865,133.576,77.223,left,single-click
275,1786145521.460773,29687.894,111.029,63.469,left,single-click
276,1786145521.628739,29855.859,167.966,60.998,left,single-click
277,1786145521.739723,29966.844,110.984,102.05,left,single-click
278,1786145521.90382,30130.94,164.097,82.964,left,single-click
279,1786145522.034753,30261.873,130.932,17.075,left,single-click
280,1786145522.18475,30411.87,149.998,60.071,left,single-click
281,1786145522.298771,30525.891,114.021,17.042,left,single-click
282,1786145522.459764,30686.884,160.993,75.076,left,single-click
283,1786145522.572716,30799.836,112.951,43.067,left,single-click
284,1786145522.753761,30980.881,181.046,17.294,left,single-click
285,1786145522.841867,31068.988,88.106,17.982,left,single-click
286,1786145522.876806,31103.927,34.939,17.147,left,double-click
287,1786145523.00588,31233.0,129.073,16.939,left,single-click
288,1786145523.039767,31266.887,33.887,40.009,left,double-click
289,1786145523.13376,31360.881,93.994,20.094,left,single-click
290,1786145523.17082,31397.94,37.06,16.973,left,double-click
291,1786145523.302909,31530.029,132.089,73.924,left,single-click
292,1786145523.420848,31647.968,117.939,55.949,left,single-click
293,1786145523.58483,31811.95,163.982,71.026,left,single-click
294,1786145523.701786,31928.906,116.956,17.032,left,single-click
295,1786145523.866037,32093.157,164.251,76.888,left,single-click
296,1786145523.977796,32204.916,111.759,17.255,left,single-click
297,1786145524.012197,32239.317,34.401,30.621,left,double-click
298,1786145524.175807,32402.927,163.61,69.084,left,single-click
299,1786145524.281886,32509.006,106.078,89.977,left,single-click
300,1786145524.457014,32684.134,175.128,87.986,left,single-click
301,1786145524.562801,32789.921,105.787,69.029,left,single-click
302,1786145524.725117,32952.237,162.316,95.978,left,single-click
303,1786145524.850908,33078.028,125.791,60.964,left,single-click
304,1786145525.013877,33240.997,162.97,67.955,left,single-click
305,1786145525.113815,33340.935,99.938,64.026,left,single-click
306,1786145525.280855,33507.975,167.04,83.997,left,single-click
307,1786145525.388785,33615.905,107.93,63.112,left,single-click
308,1786145525.551857,33778.978,163.073,73.067,left,single-click
309,1786145525.651803,33878.923,99.946,92.108,left,single-click
310,1786145525.829924,34057.044,178.121,111.008,left,single-click
311,1786145525.985798,34212.918,155.874,18.061,left,single-click
312,1786145526.020809,34247.929,35.012,17.176,left,double-click
313,1786145526.125821,34352.941,105.012,65.293,left,single-click
314,1786145526.225819,34452.939,99.998,17.019,left,single-click
315,1786145526.378895,34606.015,153.076,70.0,left,single-click
316,1786145526.480804,34707.924,101.909,17.058,left,single-click
317,1786145526.514923,34742.043,34.119,37.944,left,double-click
318,1786145526.624872,34851.993,109.949,104.001,left,single-click
319,1786145526.750873,34977.993,126.0,78.038,left,single-click
320,1786145526.90385,35130.97,152.977,90.119,left,single-click
321,1786145527.028891,35256.011,125.041,16.985,left,single-click
322,1786145527.062839,35289.959,33.948,20.023,left,double-click
323,1786145527.175828,35402.948,112.989,114.111,left,single-click
324,1786145527.31683,35543.95,141.002,44.093,left,single-click
325,1786145527.480837,35707.957,164.007,83.098,left,single-click
326,1786145527.598831,35825.951,117.994,70.039,left,single-click
327,1786145527.775879,36002.999,177.048,86.949,left,single-click
328,1786145527.893928,36121.048,118.049,16.975,left,single-click
329,1786145528.038843,36265.964,144.916,98.374,left,single-click
330,1786145528.173964,36401.084,135.12,46.121,left,single-click
331,1786145528.328262,36555.382,154.299,85.747,left,single-click
332,1786145528.43498,36662.1,106.718,34.013,left,single-click
333,1786145528.60798,36835.1,173.0,102.076,left,single-click
334,1786145528.734008,36961.128,126.029,91.109,left,single-click
335,1786145528.911985,37139.105,177.977,140.091,left,single-click
336,1786145529.153144,37380.264,241.159,89.164,left,single-click
337,1786145529.259232,37486.352,106.088,56.944,left,single-click
338,1786145529.437011,37664.131,177.779,82.113,left,single-click
339,1786145529.542014,37769.134,105.003,69.21,left,single-click
340,1786145529.705021,37932.142,163.007,77.062,left,single-click
341,1786145529.820021,38047.142,115.0,17.024,left,single-click
342,1786145529.978028,38205.148,158.007,85.014,left,single-click
343,1786145530.086989,38314.11,108.961,99.112,left,single-click
344,1786145530.265051,38492.172,178.062,67.013,left,single-click
345,1786145530.374924,38602.044,109.872,17.031,left,single-click
346,1786145530.409941,38637.061,35.017,52.119,left,double-click
347,1786145530.540018,38767.138,130.076,62.351,left,single-click
348,1786145530.633341,38860.461,93.323,55.753,left,single-click
349,1786145530.797442,39024.562,164.101,60.842,left,single-click
350,1786145530.875078,39102.199,77.637,61.193,left,single-click
351,1786145531.039034,39266.155,163.956,80.028,left,single-click
352,1786145531.153026,39380.147,113.992,62.068,left,single-click
353,1786145531.330095,39557.215,177.069,17.009,left,single-click
354,1786145531.364023,39591.143,33.928,23.031,left,double-click
355,1786145531.572006,39799.126,207.983,67.02,left,single-click
356,1786145531.657104,39884.224,85.098,56.179,left,single-click
357,1786145531.846156,40073.277,189.052,17.023,left,single-click
358,1786145531.922127,40149.247,75.971,20.02,left,single-click
359,1786145532.089088,40316.209,166.961,63.36,left,single-click
360,1786145532.192063,40419.183,102.975,17.003,left,single-click
361,1786145532.350171,40577.291,158.108,72.955,left,single-click
362,1786145532.464057,40691.177,113.886,17.148,left,single-click
363,1786145532.62605,40853.17,161.993,69.094,left,single-click
364,1786145532.729067,40956.187,103.018,17.053,left,single-click
365,1786145532.767182,40994.302,38.115,63.129,left,double-click
366,1786145532.912201,41139.321,145.019,76.988,left,single-click
367,1786145533.00618,41233.3,93.979,30.997,left,single-click
368,1786145533.118088,41345.208,111.908,185.283,left,single-click
369,1786145533.411135,41638.256,293.048,68.454,left,single-click
370,1786145533.497051,41724.171,85.915,51.577,left,single-click
371,1786145533.670192,41897.312,173.141,16.423,left,single-click
372,1786145533.704111,41931.231,33.919,35.588,left,double-click
373,1786145533.771649,41998.769,67.538,17.118,left,single-click
374,1786145533.944592,42171.713,172.943,17.269,left,single-click
375,1786145534.021603,42248.724,77.011,50.823,left,single-click
376,1786145534.187828,42414.948,166.225,47.79,left,single-click
377,1786145534.297588,42524.708,109.759,17.156,left,single-click
378,1786145534.458624,42685.744,161.036,16.975,left,single-click
379,1786145534.492557,42719.677,33.933,17.056,left,double-click
380,1786145534.557682,42784.802,65.124,17.12,left,single-click
381,1786145534.722614,42949.734,164.932,44.33,left,single-click
382,1786145534.795695,43022.815,73.081,70.175,left,single-click
383,1786145535.005674,43232.794,209.979,17.111,left,single-click
384,1786145535.079613,43306.733,73.939,17.509,left,single-click
385,1786145535.302612,43529.732,222.999,69.156,left,single-click
386,1786145535.500641,43727.761,198.029,17.013,left,single-click
387,1786145535.575684,43802.804,75.042,46.965,left,single-click
388,1786145535.744703,43971.823,169.019,63.086,left,single-click
389,1786145535.841648,44068.768,96.945,45.298,left,single-click
390,1786145536.006115,44233.236,164.468,44.561,left,single-click
391,1786145536.07962,44306.74,73.505,47.069,left,single-click
392,1786145536.255784,44482.904,176.164,17.011,left,single-click
393,1786145536.332803,44559.923,77.019,43.29,left,single-click
394,1786145536.496796,44723.917,163.993,45.974,left,single-click
395,1786145536.585053,44812.174,88.257,60.739,left,single-click
396,1786145536.751874,44978.994,166.821,47.124,left,single-click
397,1786145536.845872,45072.992,93.997,42.928,left,single-click
398,1786145537.023885,45251.005,178.014,16.91,left,single-click
399,1786145537.058084,45285.204,34.198,16.937,left,double-click
400,1786145537.109771,45336.891,51.687,57.029,left,single-click
401,1786145537.283915,45511.035,174.145,16.89,left,single-click
402,1786145537.317767,45544.887,33.852,27.013,left,double-click
403,1786145537.369772,45596.892,52.005,40.098,left,single-click
404,1786145537.538777,45765.897,169.005,17.039,left,single-click
405,1786145537.600822,45827.942,62.045,60.023,left,single-click
406,1786145537.792968,46020.088,192.146,56.91,left,single-click
407,1786145537.869913,46097.033,76.945,17.009,left,single-click
408,1786145538.064012,46291.132,194.099,16.798,left,single-click
409,1786145538.11779,46344.91,53.779,56.21,left,single-click
410,1786145538.320666,46547.786,202.876,17.145,left,single-click
411,1786145538.35478,46581.901,34.115,30.051,left,double-click
412,1786145538.402701,46629.821,47.92,17.15,left,double-click
413,1786145538.576805,46803.925,174.104,52.263,left,single-click
414,1786145538.659784,46886.904,82.978,17.023,left,single-click
415,1786145538.858777,47085.897,198.993,22.055,left,single-click
416,1786145539.045777,47272.897,187.0,76.032,left,single-click
417,1786145539.142817,47369.938,97.04,17.047,left,single-click
418,1786145539.306864,47533.984,164.047,65.935,left,single-click
419,1786145539.39382,47620.94,86.956,74.922,left,single-click
420,1786145539.580814,47807.935,186.994,84.032,left,single-click
421,1786145539.702968,47930.088,122.154,69.944,left,single-click
422,1786145539.879973,48107.093,177.005,17.22,left,single-click
423,1786145539.983916,48211.036,103.943,99.94,left,single-click
424,1786145540.158839,48385.959,174.922,80.023,left,single-click
425,1786145540.265852,48492.973,107.014,55.172,left,single-click
426,1786145540.418816,48645.936,152.963,82.15,left,single-click
427,1786145540.541896,48769.016,123.08,16.961,left,single-click
428,1786145540.57607,48803.19,34.174,21.78,left,double-click
429,1786145540.794949,49022.069,218.879,86.303,left,single-click
430,1786145540.969076,49196.196,174.127,95.89,left,single-click
431,1786145541.090885,49318.005,121.809,17.001,left,single-click
432,1786145541.124893,49352.013,34.009,18.001,left,double-click
433,1786145541.237844,49464.964,112.951,73.018,left,single-click
434,1786145541.348082,49575.202,110.238,38.788,left,single-click
435,1786145541.519952,49747.072,171.87,16.922,left,single-click
436,1786145541.604838,49831.959,84.887,17.083,left,single-click
437,1786145541.638843,49865.963,34.004,33.141,left,double-click
438,1786145541.773834,50000.954,134.991,70.138,left,single-click
439,1786145541.877846,50104.966,104.012,49.085,left,single-click
440,1786145542.054003,50281.123,176.157,45.884,left,single-click
441,1786145542.145123,50372.243,91.12,70.953,left,single-click
442,1786145542.32184,50548.96,176.717,66.122,left,single-click
443,1786145542.574872,50801.992,253.031,76.13,left,single-click
444,1786145542.66887,50895.99,93.998,66.031,left,single-click
445,1786145542.869942,51097.062,201.072,16.948,left,single-click
446,1786145542.903877,51130.997,33.935,17.186,left,double-click
447,1786145543.179881,51407.001,276.004,18.188,left,single-click
448,1786145543.214944,51442.064,35.063,17.011,left,double-click
449,1786145543.379107,51606.228,164.164,16.818,left,single-click
450,1786145543.426886,51654.006,47.778,60.022,left,double-click
451,1786145543.61002,51837.14,183.134,43.01,left,single-click
452,1786145543.698993,51926.113,88.973,42.093,left,single-click
453,1786145543.878229,52105.349,179.236,17.047,left,single-click
454,1786145543.934068,52161.188,55.839,42.971,left,single-click
455,1786145544.115066,52342.186,180.998,51.131,left,single-click
456,1786145544.183015,52410.135,67.949,76.028,left,single-click
457,1786145544.367023,52594.144,184.009,62.137,left,single-click
458,1786145544.467021,52694.141,99.998,17.111,left,single-click
459,1786145544.653063,52880.183,186.042,17.012,left,single-click
460,1786145544.68702,52914.14,33.957,17.021,left,double-click
461,1786145544.721033,52948.153,34.012,27.08,left,double-click
462,1786145544.890444,53117.564,169.411,17.063,left,single-click
463,1786145544.924099,53151.219,33.655,22.006,left,double-click
464,1786145544.989047,53216.167,64.948,17.206,left,single-click
465,1786145545.147044,53374.164,157.997,115.078,left,single-click
466,1786145545.407066,53634.186,260.022,56.032,left,single-click
467,1786145545.483043,53710.163,75.977,17.01,left,single-click
468,1786145545.677082,53904.202,194.039,16.973,left,single-click
469,1786145545.758158,53985.278,81.076,48.918,left,single-click
470,1786145545.945064,54172.184,186.906,48.131,left,single-click
471,1786145546.018089,54245.209,73.025,51.05,left,single-click
472,1786145546.206225,54433.345,188.136,49.889,left,single-click
473,1786145546.27915,54506.271,72.925,50.037,left,single-click
474,1786145546.471257,54698.378,192.107,71.94,left,single-click
475,1786145546.578067,54805.187,106.81,44.018,left,single-click
476,1786145546.766158,54993.279,188.091,16.959,left,single-click
477,1786145546.83213,55059.25,65.972,39.045,left,single-click
478,1786145547.017135,55244.255,185.005,164.997,left,single-click
479,1786145547.324079,55551.199,306.944,77.102,left,single-click
480,1786145547.418111,55645.231,94.031,45.983,left,single-click
