click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
1,1786145491.77288,0.0,0.0,16.885,left,single-click
2,1786145491.806996,34.116,34.116,17.735,left,double-click
3,1786145491.892033,119.153,85.038,16.808,left,single-click
4,1786145491.998802,225.922,106.769,46.968,left,single-click
5,1786145492.12787,354.99,129.068,17.884,left,single-click
6,1786145492.218729,445.85,90.86,17.119,left,single-click
7,1786145492.252728,479.848,33.998,17.041,left,double-click
8,1786145492.328779,555.899,76.051,64.1,left,single-click
9,1786145492.431773,658.893,102.994,17.011,left,single-click
10,1786145492.465739,692.859,33.966,17.041,left,double-click
11,1786145492.574729,801.849,108.99,50.017,left,single-click
12,1786145492.665752,892.873,91.024,17.057,left,single-click
13,1786145492.699617,926.737,33.864,17.127,left,double-click
14,1786145492.798801,1025.921,99.184,46.006,left,single-click
15,1786145492.904731,1131.851,105.93,17.05,left,single-click
16,1786145493.019729,1246.85,114.998,45.04,left,single-click
17,1786145493.11285,1339.97,93.121,16.907,left,single-click
18,1786145493.146733,1373.853,33.883,19.037,left,double-click
19,1786145493.2548,1481.92,108.067,48.969,left,single-click
20,1786145493.352738,1579.859,97.938,17.096,left,single-click
21,1786145493.38681,1613.93,34.071,28.011,left,double-click
22,1786145493.499999,1727.119,113.189,16.8,left,single-click
23,1786145493.594727,1821.847,94.727,17.12,left,single-click
24,1786145493.628749,1855.869,34.023,18.043,left,double-click
25,1786145493.73489,1962.011,106.141,17.889,left,single-click
26,1786145493.769759,1996.879,34.869,17.044,left,double-click
27,1786145493.833826,2060.946,64.067,17.194,left,single-click
28,1786145493.867793,2094.913,33.967,16.976,left,double-click
29,1786145493.978896,2206.016,111.103,16.891,left,single-click
30,1786145494.066814,2293.934,87.918,17.972,left,single-click
31,1786145494.101829,2328.949,35.014,35.004,left,double-click
32,1786145494.213776,2440.896,111.947,44.043,left,single-click
33,1786145494.312772,2539.892,98.996,16.924,left,single-click
34,1786145494.34674,2573.861,33.968,18.033,left,double-click
35,1786145494.461774,2688.894,115.033,61.056,left,single-click
36,1786145494.563821,2790.941,102.047,16.843,left,single-click
37,1786145494.597906,2825.026,34.085,32.937,left,double-click
38,1786145494.724924,2952.044,127.018,16.879,left,single-click
39,1786145494.814939,3042.06,90.016,16.921,left,single-click
40,1786145494.848874,3075.994,33.935,17.17,left,double-click
41,1786145494.97989,3207.01,131.016,17.002,left,single-click
42,1786145495.049823,3276.943,69.933,17.976,left,single-click
43,1786145495.08475,3311.87,34.928,18.062,left,double-click
44,1786145495.20183,3428.95,117.079,42.938,left,single-click
45,1786145495.283841,3510.962,82.012,17.225,left,single-click
46,1786145495.317787,3544.907,33.945,16.995,left,double-click
47,1786145495.435999,3663.12,118.213,48.043,left,single-click
48,1786145495.515769,3742.889,79.769,63.108,left,single-click
49,1786145495.668756,3895.876,152.987,49.094,left,single-click
50,1786145495.76283,3989.95,94.074,17.063,left,single-click
51,1786145495.797068,4024.188,34.238,17.817,left,double-click
52,1786145495.910849,4137.969,113.781,16.961,left,single-click
53,1786145495.944805,4171.925,33.956,17.033,left,double-click
54,1786145495.997797,4224.917,52.992,61.019,left,single-click
55,1786145496.167958,4395.078,170.161,17.003,left,single-click
