click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
1,1786146518.734988,0.0,0.0,53.191,left,single-click
2,1786146518.895923,160.935,160.935,45.193,left,single-click
3,1786146519.039056,304.068,143.133,71.849,left,single-click
4,1786146519.217025,482.036,177.968,58.136,left,single-click
5,1786146519.377937,642.949,160.913,85.246,left,single-click
6,1786146519.586846,851.857,208.908,130.145,left,single-click
7,1786146519.755053,1020.065,168.208,207.925,left,single-click
8,1786146520.037906,1302.917,282.852,72.529,left,single-click
9,1786146520.200012,1465.024,162.107,72.043,left,single-click
10,1786146520.371922,1636.934,171.91,67.075,left,single-click
11,1786146520.543955,1808.967,172.033,55.219,left,single-click
12,1786146520.710266,1975.278,166.311,59.0,left,single-click
13,1786146520.883914,2148.926,173.648,71.281,left,single-click
14,1786146521.038302,2303.313,154.387,102.822,left,single-click
15,1786146521.20518,2470.191,166.878,84.173,left,single-click
16,1786146521.366122,2631.134,160.942,98.097,left,single-click
17,1786146521.566061,2831.072,199.939,71.14,left,single-click
18,1786146521.745149,3010.16,179.088,62.992,left,single-click
19,1786146521.924147,3189.158,178.998,64.9,left,single-click
20,1786146522.077198,3342.21,153.051,78.002,left,single-click
21,1786146522.275122,3540.133,197.923,76.279,left,single-click
22,1786146522.448147,3713.158,173.025,70.008,left,single-click
23,1786146522.60509,3870.102,156.944,87.206,left,single-click
24,1786146522.780104,4045.115,175.014,85.387,left,single-click
25,1786146522.953165,4218.177,173.061,45.979,left,single-click
26,1786146523.159089,4424.101,205.924,76.185,left,single-click
27,1786146523.297205,4562.217,138.116,90.004,left,single-click
28,1786146523.510081,4775.093,212.876,67.098,left,single-click
29,1786146523.67013,4935.142,160.049,74.194,left,single-click
30,1786146523.840088,5105.099,169.957,80.15,left,single-click
31,1786146524.009066,5274.077,168.978,89.257,left,single-click
32,1786146524.185097,5450.108,176.031,75.076,left,single-click
33,1786146524.358109,5623.121,173.013,71.152,left,single-click
34,1786146524.53713,5802.141,179.02,78.299,left,single-click
35,1786146524.726139,5991.15,189.009,74.098,left,single-click
36,1786146524.896349,6161.36,170.21,66.135,left,single-click
37,1786146525.221193,6486.204,324.844,98.584,left,single-click
38,1786146525.43014,6695.152,208.948,56.071,left,single-click
39,1786146525.561201,6826.213,131.061,99.023,left,single-click
40,1786146525.749095,7014.106,187.893,119.159,left,single-click
41,1786146525.953299,7218.31,204.204,88.971,left,single-click
42,1786146526.15855,7423.562,205.251,97.713,left,single-click
43,1786146526.333306,7598.318,174.756,118.063,left,single-click
44,1786146526.548098,7813.11,214.792,81.307,left,single-click
45,1786146526.755176,8020.188,207.078,47.216,left,single-click
46,1786146526.946385,8211.396,191.208,61.777,left,single-click
47,1786146527.10134,8366.351,154.955,79.953,left,single-click
48,1786146527.269204,8534.215,167.864,66.04,left,single-click
49,1786146527.442106,8707.118,172.903,50.202,left,single-click
50,1786146527.610735,8875.747,168.629,59.546,left,single-click
51,1786146527.794177,9059.189,183.442,47.227,left,single-click
52,1786146527.95226,9217.272,158.083,85.95,left,single-click
53,1786146528.123403,9388.414,171.142,77.841,left,single-click
54,1786146528.434259,9699.27,310.856,62.057,left,single-click
55,1786146528.611299,9876.311,177.041,66.393,left,single-click
56,1786146528.803163,10068.175,191.864,50.395,left,single-click
57,1786146528.9483,10213.312,145.137,76.045,left,single-click
58,1786146529.132371,10397.383,184.071,69.158,left,single-click
59,1786146529.307381,10572.393,175.01,53.179,left,single-click
60,1786146529.457406,10722.418,150.025,68.06,left,single-click
61,1786146529.599373,10864.384,141.966,82.087,left,single-click
62,1786146529.767483,11032.495,168.111,68.105,left,single-click
