click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786140307.677601,0.0,0.0,left,single-click
2,1786140307.779408,101.808,101.808,left,single-click
3,1786140307.853358,175.757,73.95,left,single-click
4,1786140308.045255,367.655,191.897,left,single-click
5,1786140308.141435,463.834,96.179,left,single-click
6,1786140308.222278,544.677,80.843,left,single-click
7,1786140308.316638,639.037,94.359,left,single-click
8,1786140308.39738,719.779,80.742,left,single-click
9,1786140308.49832,820.719,100.94,left,single-click
10,1786140308.596292,918.691,97.972,left,single-click
11,1786140308.779486,1101.885,183.194,left,single-click
12,1786140308.950491,1272.891,171.005,left,single-click
13,1786140309.139426,1461.825,188.934,left,single-click
14,1786140309.247436,1569.835,108.01,left,single-click
15,1786140309.422484,1744.883,175.048,left,single-click
16,1786140309.51138,1833.779,88.896,left,single-click
17,1786140309.624661,1947.06,113.281,left,single-click
18,1786140309.72039,2042.789,95.729,left,single-click
19,1786140309.821509,2143.909,101.119,left,single-click
20,1786140309.9217,2244.099,100.19,left,single-click
21,1786140310.077605,2400.004,155.905,left,single-click
22,1786140310.162441,2484.84,84.836,left,single-click
23,1786140310.417512,2739.912,255.072,left,single-click
24,1786140310.511362,2833.761,93.85,left,single-click
25,1786140310.609494,2931.893,98.132,left,single-click
26,1786140310.697886,3020.285,88.392,left,single-click
27,1786140310.791823,3114.222,93.937,left,single-click
28,1786140310.862427,3184.826,70.605,left,single-click
29,1786140310.96544,3287.839,103.013,left,single-click
30,1786140311.04636,3368.759,80.92,left,single-click
31,1786140311.20848,3530.879,162.121,left,single-click
32,1786140311.380453,3702.852,171.972,left,single-click
33,1786140311.460511,3782.91,80.058,left,single-click
34,1786140311.566463,3888.862,105.952,left,single-click
35,1786140311.645449,3967.848,78.986,left,single-click
36,1786140311.721469,4043.868,76.02,left,single-click
37,1786140311.814361,4136.76,92.892,left,single-click
38,1786140311.901609,4224.008,87.249,left,single-click
39,1786140311.987498,4309.897,85.889,left,single-click
40,1786140312.065507,4387.907,78.009,left,single-click
41,1786140312.157484,4479.883,91.977,left,single-click
42,1786140312.245477,4567.876,87.993,left,single-click
43,1786140312.512662,4835.061,267.184,left,single-click
44,1786140312.598571,4920.97,85.909,left,single-click
45,1786140312.672606,4995.006,74.035,left,single-click
